scheme,request_id,correct,plaintext_decision,encrypted_decision,encryption_time,decryption_time,total_time,cpu_start,cpu_end,ram_start,ram_end,ciphertext_size,payload_size
CKKS-proposed,0,True,inside,inside,0.004945039749145508,2.384185791015625e-07,0.46763134002685547,1.8,0.0,136.3984375,142.53125,324608,8525643
CKKS-proposed,1,True,inside,inside,0.0044710636138916016,2.384185791015625e-07,0.4572000503540039,0.0,0.0,134.4140625,144.57421875,324608,8525643
CKKS-proposed,2,True,inside,inside,0.0042877197265625,0.0,0.4736778736114502,1.8,0.9,136.44140625,144.578125,324608,8525643
CKKS-proposed,3,True,inside,inside,0.0048863887786865234,0.0,0.4649817943572998,0.9,0.0,134.1796875,144.578125,324608,8525643
CKKS-proposed,4,True,inside,inside,0.004724025726318359,4.76837158203125e-07,0.44011998176574707,1.0,0.0,136.4453125,144.578125,324608,8525643
CKKS-proposed,5,True,inside,inside,0.00428009033203125,2.384185791015625e-07,0.4636654853820801,0.0,0.0,134.1796875,144.58203125,324608,8525643
CKKS-proposed,6,True,inside,inside,0.0039446353912353516,4.76837158203125e-07,0.44478631019592285,0.0,0.0,136.45703125,144.59375,324608,8525643
CKKS-proposed,7,True,inside,inside,0.004488706588745117,4.76837158203125e-07,0.45215630531311035,0.0,0.0,134.1953125,144.59375,324608,8525643
CKKS-proposed,8,True,inside,inside,0.004075050354003906,2.384185791015625e-07,0.44298315048217773,0.0,0.0,136.4609375,144.59765625,324608,8525643
CKKS-proposed,9,True,inside,inside,0.004622936248779297,4.76837158203125e-07,0.4465148448944092,0.0,1.0,134.19921875,144.59765625,324608,8525643
CKKS-proposed,10,True,inside,inside,0.003808259963989258,4.76837158203125e-07,0.44519615173339844,0.0,1.0,136.46484375,144.59765625,324608,8525643
CKKS-proposed,11,True,inside,inside,0.0044214725494384766,2.384185791015625e-07,0.4935793876647949,0.0,0.9,134.19921875,144.59765625,324608,8525643
CKKS-proposed,12,True,inside,inside,0.004283428192138672,2.384185791015625e-07,0.44516563415527344,0.0,0.0,136.46484375,144.59765625,324608,8525643
CKKS-proposed,13,True,inside,inside,0.004752635955810547,2.384185791015625e-07,0.4450223445892334,1.0,0.0,134.19921875,144.59765625,324608,8525643
CKKS-proposed,14,True,inside,inside,0.0039255619049072266,2.384185791015625e-07,0.4495093822479248,0.0,0.0,136.46484375,144.6015625,324608,8525643
CKKS-proposed,15,True,inside,inside,0.00445246696472168,2.384185791015625e-07,0.47606396675109863,0.0,0.0,134.19921875,144.60546875,324608,8525643
CKKS-proposed,16,True,inside,inside,0.003931760787963867,4.76837158203125e-07,0.4410829544067383,0.0,0.0,136.47265625,144.625,324608,8525643
CKKS-proposed,17,True,inside,inside,0.0050466060638427734,2.384185791015625e-07,0.442232608795166,2.0,0.0,134.20703125,144.6171875,324608,8525643
