scheme,request_id,correct,plaintext_decision,encrypted_decision,encryption_time,decryption_time,total_time,cpu_start,cpu_end,ram_start,ram_end,ciphertext_size,payload_size
Paillier-baseline,91,True,inside,inside,4.5299530029296875e-06,2.384185791015625e-07,45.79128575325012,2.4,23.6,121.53515625,122.13671875,177,6599
Paillier-baseline,71,True,inside,inside,3.5762786865234375e-06,4.76837158203125e-07,48.94198203086853,1.8,26.2,120.67578125,122.1171875,177,6599
Paillier-baseline,61,True,inside,inside,8.344650268554688e-06,2.384185791015625e-07,49.099119424819946,1.8,25.5,120.90625,122.0859375,177,6599
Paillier-baseline,12,True,inside,inside,5.245208740234375e-06,2.384185791015625e-07,49.208979845047,0.9,24.3,120.09375,122.0546875,177,6599
Paillier-baseline,97,True,inside,inside,8.344650268554688e-06,2.384185791015625e-07,49.76086354255676,1.8,27.1,121.12109375,122.01953125,177,6599
Paillier-baseline,68,True,inside,inside,5.9604644775390625e-06,0.0,52.794506311416626,1.6,29.2,120.953125,121.71875,177,6599
Paillier-baseline,29,True,inside,inside,6.4373016357421875e-06,2.384185791015625e-07,53.04927897453308,1.8,25.5,120.3671875,121.68359375,177,6599
Paillier-baseline,50,True,inside,inside,4.0531158447265625e-06,2.384185791015625e-07,53.201743602752686,1.7,25.0,120.79296875,121.6484375,177,6599
Paillier-baseline,20,True,inside,inside,4.291534423828125e-06,0.0,53.94794678688049,1.4,27.4,120.5546875,121.61328125,177,6599
Paillier-baseline,18,True,inside,inside,6.9141387939453125e-06,4.76837158203125e-07,56.82958149909973,0.9,25.5,120.10546875,121.578125,177,6599
Paillier-baseline,93,True,inside,inside,4.76837158203125e-06,4.76837158203125e-07,57.08446216583252,1.8,27.6,121.19921875,121.54296875,177,6599
Paillier-baseline,7,True,inside,inside,6.9141387939453125e-06,4.76837158203125e-07,57.42864751815796,0.9,26.6,119.90625,121.51171875,177,6599
Paillier-baseline,59,True,inside,inside,1.049041748046875e-05,4.76837158203125e-07,58.07528209686279,1.9,24.3,121.71484375,121.4765625,177,6599
Paillier-baseline,51,True,inside,inside,7.152557373046875e-06,0.0,61.30412220954895,1.7,24.7,120.70703125,121.171875,177,6599
Paillier-baseline,87,True,inside,inside,1.1444091796875e-05,2.384185791015625e-07,61.33591341972351,1.6,25.0,121.421875,121.13671875,177,6599
Paillier-baseline,17,True,inside,inside,7.152557373046875e-06,2.384185791015625e-07,62.15729594230652,0.9,26.8,120.08203125,121.10546875,177,6599
Paillier-baseline,35,True,inside,inside,3.814697265625e-06,2.384185791015625e-07,62.35550928115845,1.6,24.5,120.63671875,121.07421875,177,6599
Paillier-baseline,81,True,inside,inside,5.7220458984375e-06,0.0,65.20192670822144,1.6,26.8,121.26171875,120.51953125,177,6599
Paillier-baseline,77,True,inside,inside,5.7220458984375e-06,7.152557373046875e-07,65.52970671653748,1.4,26.0,121.3515625,120.484375,177,6599
Paillier-baseline,98,True,inside,inside,6.4373016357421875e-06,4.76837158203125e-07,65.96711087226868,2.2,27.8,121.640625,120.453125,177,6599
Paillier-baseline,90,True,inside,inside,5.4836273193359375e-06,0.0,66.59358382225037,1.8,26.6,121.12890625,120.421875,177,6599
Paillier-baseline,80,True,inside,inside,5.4836273193359375e-06,0.0,69.1064248085022,1.9,27.3,120.80859375,120.390625,177,6599
Paillier-baseline,27,True,inside,inside,3.5762786865234375e-06,0.0,69.9409692287445,1.6,29.4,120.5703125,120.359375,177,6599
Paillier-baseline,64,True,inside,inside,6.198883056640625e-06,2.384185791015625e-07,70.12848281860352,1.6,24.0,121.1015625,120.1328125,177,6599
Paillier-baseline,92,True,inside,inside,6.67572021484375e-06,2.384185791015625e-07,71.15522980690002,1.8,18.2,121.1875,120.1015625,177,6599
Paillier-baseline,86,True,inside,inside,6.198883056640625e-06,2.384185791015625e-07,73.58333206176758,2.4,16.1,121.51953125,120.078125,177,6599
Paillier-baseline,82,True,inside,inside,4.76837158203125e-06,0.0,74.22464370727539,1.5,9.4,121.4296875,120.046875,177,6599
Paillier-baseline,84,True,inside,inside,8.106231689453125e-06,4.76837158203125e-07,74.3483214378357,3.2,2.2,122.046875,120.01171875,177,6599
Paillier-baseline,58,True,inside,inside,1.4066696166992188e-05,2.384185791015625e-07,75.50387191772461,5.1,22.0,122.12109375,119.5859375,177,6599
Paillier-baseline,49,True,inside,inside,5.245208740234375e-06,0.0,77.92156410217285,1.7,23.2,120.78125,119.5546875,177,6599
Paillier-baseline,74,True,inside,inside,4.0531158447265625e-06,0.0,78.47147798538208,1.4,26.2,121.36328125,119.5234375,177,6599
Paillier-baseline,94,True,inside,inside,7.867813110351562e-06,2.384185791015625e-07,78.59480023384094,2.2,25.5,121.73828125,119.4921875,177,6599
Paillier-baseline,41,True,inside,inside,8.106231689453125e-06,2.384185791015625e-07,79.45948815345764,1.8,23.6,120.44921875,119.46484375,177,6599
Paillier-baseline,62,True,inside,inside,3.337860107421875e-06,2.384185791015625e-07,82.32986545562744,1.8,36.1,120.81640625,119.1640625,177,6599
Paillier-baseline,30,True,inside,inside,5.9604644775390625e-06,2.384185791015625e-07,82.95451354980469,1.0,24.7,120.19140625,119.1328125,177,6599
Paillier-baseline,75,True,inside,inside,5.0067901611328125e-06,2.384185791015625e-07,82.95616316795349,2.1,28.4,121.44140625,119.1015625,177,6599
Paillier-baseline,89,True,inside,inside,4.76837158203125e-06,2.384185791015625e-07,83.9174792766571,1.8,25.2,121.19140625,119.0703125,177,6599
Paillier-baseline,76,True,inside,inside,1.0251998901367188e-05,0.0,86.82216668128967,1.4,27.7,121.3515625,118.6484375,177,6599
Paillier-baseline,53,True,inside,inside,4.76837158203125e-06,2.384185791015625e-07,87.30665159225464,1.6,25.8,120.96484375,118.6171875,177,6599
Paillier-baseline,79,True,inside,inside,5.245208740234375e-06,0.0,87.36420369148254,5.1,23.1,122.19921875,118.5859375,177,6599
Paillier-baseline,95,True,inside,inside,6.9141387939453125e-06,2.384185791015625e-07,88.20418286323547,5.7,26.6,122.19140625,118.55078125,177,6599
Paillier-baseline,42,True,inside,inside,6.198883056640625e-06,2.384185791015625e-07,90.85431814193726,1.6,30.3,120.546875,118.203125,177,6599
Paillier-baseline,55,True,inside,inside,7.3909759521484375e-06,2.384185791015625e-07,91.56743264198303,2.1,25.3,121.50390625,118.171875,177,6599
Paillier-baseline,56,True,inside,inside,1.5020370483398438e-05,0.0,91.81088280677795,1.5,26.0,121.109375,118.140625,177,6599
Paillier-baseline,34,True,inside,inside,8.821487426757812e-06,2.384185791015625e-07,92.39225506782532,1.9,26.1,121.48828125,118.109375,177,6599
